model_id,seq_len,accuracy
openai-community/gpt2,5,0.209677
deepseek-ai/deepseek-coder-1.3b-instruct,5,0.435484
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,5,0.217742
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,5,0.435484
tiiuae/Falcon3-7B-Instruct,5,0.491935
Qwen/Qwen2.5-7B-Instruct,5,0.403226
deepseek-ai/deepseek-coder-7b-instruct-v1.5,5,0.290323
NTQAI/Nxcode-CQ-7B-orpo,5,0.467742
Qwen/CodeQwen1.5-7B-Chat,5,0.564516
Qwen/Qwen2.5-Coder-7B-Instruct,5,0.403226
google/gemma-2-9b-it,5,0.451613
Qwen/Qwen2.5-14B-Instruct,5,0.395161
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,5,0.516129
Qwen/Qwen2.5-Coder-14B-Instruct,5,0.604839
Qwen/Qwen2.5-14B,5,0.620968
allenai/OLMo-2-1124-7B-Instruct,5,0.209677
allenai/OLMo-2-1124-13B-Instruct,5,0.306452
