model_id,seq_len,accuracy
openai-community/gpt2,15,0.217742
deepseek-ai/deepseek-coder-1.3b-instruct,15,0.483871
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,15,0.258065
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,15,0.419355
tiiuae/Falcon3-7B-Instruct,15,0.483871
Qwen/Qwen2.5-7B-Instruct,15,0.217742
deepseek-ai/deepseek-coder-7b-instruct-v1.5,15,0.177419
NTQAI/Nxcode-CQ-7B-orpo,15,0.370968
Qwen/CodeQwen1.5-7B-Chat,15,0.387097
Qwen/Qwen2.5-Coder-7B-Instruct,15,0.282258
google/gemma-2-9b-it,15,0.443548
Qwen/Qwen2.5-14B-Instruct,15,0.330645
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,15,0.411290
Qwen/Qwen2.5-Coder-14B-Instruct,15,0.346774
Qwen/Qwen2.5-14B,15,0.411290
allenai/OLMo-2-1124-7B-Instruct,15,0.209677
allenai/OLMo-2-1124-13B-Instruct,15,0.379032
openai/gpt-4o,15,0.180000
