model_id,seq_len,accuracy
openai-community/gpt2,6,0.225806
deepseek-ai/deepseek-coder-1.3b-instruct,6,0.403226
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,6,0.241935
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,6,0.411290
tiiuae/Falcon3-7B-Instruct,6,0.491935
Qwen/Qwen2.5-7B-Instruct,6,0.258065
deepseek-ai/deepseek-coder-7b-instruct-v1.5,6,0.185484
NTQAI/Nxcode-CQ-7B-orpo,6,0.443548
Qwen/CodeQwen1.5-7B-Chat,6,0.427419
Qwen/Qwen2.5-Coder-7B-Instruct,6,0.427419
google/gemma-2-9b-it,6,0.491935
Qwen/Qwen2.5-14B-Instruct,6,0.314516
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,6,0.435484
Qwen/Qwen2.5-Coder-14B-Instruct,6,0.419355
Qwen/Qwen2.5-14B,6,0.491935
allenai/OLMo-2-1124-7B-Instruct,6,0.250000
allenai/OLMo-2-1124-13B-Instruct,6,0.338710
