model_id,seq_len,accuracy
openai-community/gpt2,7,0.177419
deepseek-ai/deepseek-coder-1.3b-instruct,7,0.411290
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,7,0.282258
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7,0.427419
tiiuae/Falcon3-7B-Instruct,7,0.483871
Qwen/Qwen2.5-7B-Instruct,7,0.258065
deepseek-ai/deepseek-coder-7b-instruct-v1.5,7,0.266129
NTQAI/Nxcode-CQ-7B-orpo,7,0.451613
Qwen/CodeQwen1.5-7B-Chat,7,0.387097
Qwen/Qwen2.5-Coder-7B-Instruct,7,0.338710
google/gemma-2-9b-it,7,0.443548
Qwen/Qwen2.5-14B-Instruct,7,0.346774
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,7,0.427419
Qwen/Qwen2.5-Coder-14B-Instruct,7,0.435484
Qwen/Qwen2.5-14B,7,0.516129
allenai/OLMo-2-1124-7B-Instruct,7,0.185484
allenai/OLMo-2-1124-13B-Instruct,7,0.370968
openai/gpt-4o,7,0.360000
