model_id,seq_len,accuracy
openai-community/gpt2,10,0.241935
deepseek-ai/deepseek-coder-1.3b-instruct,10,0.338710
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,10,0.185484
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,10,0.346774
tiiuae/Falcon3-7B-Instruct,10,0.516129
Qwen/Qwen2.5-7B-Instruct,10,0.233871
deepseek-ai/deepseek-coder-7b-instruct-v1.5,10,0.258065
NTQAI/Nxcode-CQ-7B-orpo,10,0.435484
Qwen/CodeQwen1.5-7B-Chat,10,0.411290
Qwen/Qwen2.5-Coder-7B-Instruct,10,0.346774
google/gemma-2-9b-it,10,0.411290
Qwen/Qwen2.5-14B-Instruct,10,0.241935
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,10,0.451613
Qwen/Qwen2.5-Coder-14B-Instruct,10,0.362903
Qwen/Qwen2.5-14B,10,0.500000
allenai/OLMo-2-1124-7B-Instruct,10,0.193548
allenai/OLMo-2-1124-13B-Instruct,10,0.387097
openai/gpt-4o,10,0.360000
