model_id,seq_len,accuracy
openai-community/gpt2,3,0.258065
deepseek-ai/deepseek-coder-1.3b-instruct,3,0.564516
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,3,0.346774
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,0.540323
tiiuae/Falcon3-7B-Instruct,3,0.677419
Qwen/Qwen2.5-7B-Instruct,3,0.564516
deepseek-ai/deepseek-coder-7b-instruct-v1.5,3,0.580645
NTQAI/Nxcode-CQ-7B-orpo,3,0.556452
Qwen/CodeQwen1.5-7B-Chat,3,0.580645
Qwen/Qwen2.5-Coder-7B-Instruct,3,0.701613
google/gemma-2-9b-it,3,0.612903
Qwen/Qwen2.5-14B-Instruct,3,0.540323
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,3,0.685484
Qwen/Qwen2.5-Coder-14B-Instruct,3,0.774194
Qwen/Qwen2.5-14B,3,0.766129
allenai/OLMo-2-1124-7B-Instruct,3,0.330645
allenai/OLMo-2-1124-13B-Instruct,3,0.524194
openai/gpt-4o,3,0.920000
