model_id,seq_len,accuracy
openai-community/gpt2,13,0.233871
deepseek-ai/deepseek-coder-1.3b-instruct,13,0.395161
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,13,0.177419
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,13,0.379032
tiiuae/Falcon3-7B-Instruct,13,0.362903
Qwen/Qwen2.5-7B-Instruct,13,0.370968
deepseek-ai/deepseek-coder-7b-instruct-v1.5,13,0.201613
NTQAI/Nxcode-CQ-7B-orpo,13,0.354839
Qwen/CodeQwen1.5-7B-Chat,13,0.346774
Qwen/Qwen2.5-Coder-7B-Instruct,13,0.322581
google/gemma-2-9b-it,13,0.298387
Qwen/Qwen2.5-14B-Instruct,13,0.387097
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,13,0.370968
Qwen/Qwen2.5-Coder-14B-Instruct,13,0.379032
Qwen/Qwen2.5-14B,13,0.411290
allenai/OLMo-2-1124-7B-Instruct,13,0.161290
allenai/OLMo-2-1124-13B-Instruct,13,0.346774
openai/gpt-4o,13,0.280000
