model_id,seq_len,accuracy
openai-community/gpt2,9,0.209677
deepseek-ai/deepseek-coder-1.3b-instruct,9,0.451613
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,9,0.225806
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,9,0.379032
tiiuae/Falcon3-7B-Instruct,9,0.443548
Qwen/Qwen2.5-7B-Instruct,9,0.322581
deepseek-ai/deepseek-coder-7b-instruct-v1.5,9,0.177419
NTQAI/Nxcode-CQ-7B-orpo,9,0.459677
Qwen/CodeQwen1.5-7B-Chat,9,0.483871
Qwen/Qwen2.5-Coder-7B-Instruct,9,0.362903
google/gemma-2-9b-it,9,0.435484
Qwen/Qwen2.5-14B-Instruct,9,0.274194
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,9,0.451613
Qwen/Qwen2.5-Coder-14B-Instruct,9,0.427419
Qwen/Qwen2.5-14B,9,0.395161
allenai/OLMo-2-1124-7B-Instruct,9,0.217742
allenai/OLMo-2-1124-13B-Instruct,9,0.338710
openai/gpt-4o,9,0.340000
