model_id,seq_len,accuracy
openai-community/gpt2,11,0.193548
deepseek-ai/deepseek-coder-1.3b-instruct,11,0.483871
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,11,0.241935
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,0.387097
tiiuae/Falcon3-7B-Instruct,11,0.491935
Qwen/Qwen2.5-7B-Instruct,11,0.314516
deepseek-ai/deepseek-coder-7b-instruct-v1.5,11,0.201613
NTQAI/Nxcode-CQ-7B-orpo,11,0.443548
Qwen/CodeQwen1.5-7B-Chat,11,0.419355
Qwen/Qwen2.5-Coder-7B-Instruct,11,0.387097
google/gemma-2-9b-it,11,0.443548
Qwen/Qwen2.5-14B-Instruct,11,0.314516
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,11,0.379032
Qwen/Qwen2.5-Coder-14B-Instruct,11,0.411290
Qwen/Qwen2.5-14B,11,0.467742
allenai/OLMo-2-1124-7B-Instruct,11,0.217742
allenai/OLMo-2-1124-13B-Instruct,11,0.362903
openai/gpt-4o,11,0.260000
