model_id,seq_len,accuracy
openai-community/gpt2,2,0.395161
deepseek-ai/deepseek-coder-1.3b-instruct,2,0.637097
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,2,0.379032
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,2,0.733871
tiiuae/Falcon3-7B-Instruct,2,0.870968
Qwen/Qwen2.5-7B-Instruct,2,0.806452
deepseek-ai/deepseek-coder-7b-instruct-v1.5,2,0.774194
NTQAI/Nxcode-CQ-7B-orpo,2,0.798387
Qwen/CodeQwen1.5-7B-Chat,2,0.701613
Qwen/Qwen2.5-Coder-7B-Instruct,2,0.806452
google/gemma-2-9b-it,2,0.822581
Qwen/Qwen2.5-14B-Instruct,2,0.725806
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,2,0.758065
Qwen/Qwen2.5-Coder-14B-Instruct,2,0.838710
Qwen/Qwen2.5-14B,2,0.766129
allenai/OLMo-2-1124-7B-Instruct,2,0.459677
allenai/OLMo-2-1124-13B-Instruct,2,0.491935
openai/gpt-4o,2,0.940000
