model_id,seq_len,accuracy
openai-community/gpt2,12,0.193548
deepseek-ai/deepseek-coder-1.3b-instruct,12,0.411290
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,12,0.298387
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,12,0.411290
tiiuae/Falcon3-7B-Instruct,12,0.451613
Qwen/Qwen2.5-7B-Instruct,12,0.258065
deepseek-ai/deepseek-coder-7b-instruct-v1.5,12,0.209677
NTQAI/Nxcode-CQ-7B-orpo,12,0.419355
Qwen/CodeQwen1.5-7B-Chat,12,0.370968
Qwen/Qwen2.5-Coder-7B-Instruct,12,0.306452
google/gemma-2-9b-it,12,0.467742
Qwen/Qwen2.5-14B-Instruct,12,0.274194
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,12,0.354839
Qwen/Qwen2.5-Coder-14B-Instruct,12,0.370968
Qwen/Qwen2.5-14B,12,0.419355
allenai/OLMo-2-1124-7B-Instruct,12,0.177419
allenai/OLMo-2-1124-13B-Instruct,12,0.362903
openai/gpt-4o,12,0.380000
