model_id,seq_len,accuracy
openai-community/gpt2,16,0.193548
deepseek-ai/deepseek-coder-1.3b-instruct,16,0.411290
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,16,0.258065
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,0.322581
tiiuae/Falcon3-7B-Instruct,16,0.427419
Qwen/Qwen2.5-7B-Instruct,16,0.354839
deepseek-ai/deepseek-coder-7b-instruct-v1.5,16,0.185484
NTQAI/Nxcode-CQ-7B-orpo,16,0.379032
Qwen/CodeQwen1.5-7B-Chat,16,0.306452
Qwen/Qwen2.5-Coder-7B-Instruct,16,0.330645
google/gemma-2-9b-it,16,0.467742
Qwen/Qwen2.5-14B-Instruct,16,0.290323
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,16,0.475806
Qwen/Qwen2.5-Coder-14B-Instruct,16,0.387097
Qwen/Qwen2.5-14B,16,0.387097
allenai/OLMo-2-1124-7B-Instruct,16,0.201613
allenai/OLMo-2-1124-13B-Instruct,16,0.282258
openai/gpt-4o,16,0.240000
